particula,masas,x,y,z
1,2.00,-53.00,79.00,-91.00
2,2.00,13.00,-142.00,-177.00
3,2.00,-109.00,-103.00,-120.00
4,2.00,4.00,-96.00,110.00
5,4.00,222.00,-22.00,-236.00
6,2.00,222.00,83.00,240.00
7,3.00,60.00,-79.00,104.00
8,5.00,190.00,165.00,-120.00
9,2.00,93.00,-140.00,-168.00
10,3.00,156.00,158.00,-79.00
11,1.00,127.00,-35.00,-92.00
12,1.00,101.00,10.00,210.00
13,4.00,81.00,-126.00,220.00
14,4.00,-46.00,81.00,131.00
15,3.00,69.00,-102.00,-26.00
16,1.00,94.00,106.00,137.00
17,4.00,168.00,115.00,5.00
18,3.00,181.00,-62.00,102.00
19,5.00,-5.00,55.00,-118.00
20,3.00,105.00,-58.00,-64.00
21,4.00,137.00,80.00,234.00
22,2.00,170.00,-102.00,-52.00
23,2.00,-116.00,-41.00,-223.00
24,3.00,110.00,109.00,-102.00
25,5.00,166.00,6.00,-1.00
26,3.00,126.00,45.00,-119.00
27,1.00,-27.00,188.00,-93.00
28,1.00,268.00,-54.00,261.00
29,3.00,-8.00,195.00,216.00
30,5.00,248.00,-76.00,-232.00
31,3.00,-24.00,-18.00,-3.00
32,4.00,127.00,88.00,196.00
33,4.00,99.00,24.00,174.00
34,1.00,-28.00,201.00,101.00
35,2.00,284.00,-33.00,-65.00
36,1.00,274.00,22.00,29.00
37,4.00,241.00,9.00,221.00
38,4.00,184.00,206.00,208.00
39,2.00,91.00,146.00,58.00
40,4.00,3.00,96.00,74.00
41,4.00,-65.00,127.00,246.00
42,3.00,223.00,-95.00,20.00
43,3.00,230.00,140.00,-116.00
44,3.00,78.00,158.00,-8.00
45,2.00,49.00,194.00,217.00
46,5.00,247.00,207.00,105.00
47,3.00,253.00,104.00,63.00
48,4.00,46.00,106.00,-198.00
49,5.00,296.00,-76.00,228.00
50,5.00,142.00,177.00,58.00
51,2.00,261.00,-81.00,28.00
52,1.00,-11.00,177.00,67.00
53,3.00,123.00,215.00,128.00
54,4.00,113.00,-82.00,-14.00
55,5.00,190.00,-28.00,-5.00
56,5.00,228.00,197.00,96.00
57,5.00,143.00,-29.00,-230.00
58,2.00,-71.00,-75.00,208.00
59,4.00,83.00,65.00,-120.00
60,5.00,35.00,41.00,244.00
61,5.00,201.00,165.00,-91.00
62,5.00,246.00,46.00,161.00
63,3.00,-73.00,167.00,78.00
64,4.00,98.00,45.00,28.00
65,1.00,211.00,-57.00,-228.00
66,3.00,94.00,221.00,-92.00
67,4.00,164.00,90.00,82.00
68,5.00,84.00,159.00,12.00
69,3.00,124.00,-46.00,-122.00
70,2.00,290.00,197.00,255.00
71,3.00,-9.00,115.00,-106.00
72,1.00,246.00,157.00,47.00
73,3.00,-15.00,-13.00,149.00
74,4.00,163.00,-53.00,-214.00
75,3.00,-34.00,196.00,-31.00
76,4.00,78.00,28.00,155.00
77,4.00,327.00,-11.00,274.00
78,5.00,241.00,217.00,-7.00
79,2.00,293.00,195.00,189.00
80,3.00,299.00,221.00,251.00
81,5.00,-14.00,103.00,113.00
82,2.00,283.00,17.00,57.00
83,3.00,61.00,-33.00,-227.00
84,4.00,154.00,-47.00,-155.00
85,4.00,71.00,113.00,-188.00
86,4.00,285.00,229.00,-148.00
87,4.00,219.00,188.00,-230.00
88,3.00,162.00,229.00,-102.00
89,1.00,286.00,116.00,176.00
90,2.00,100.00,-30.00,103.00
91,4.00,125.00,126.00,48.00
92,5.00,203.00,74.00,11.00
93,1.00,-8.00,54.00,-193.00
94,2.00,129.00,231.00,263.00
95,4.00,275.00,30.00,-109.00
96,2.00,311.00,70.00,-9.00
97,5.00,247.00,14.00,109.00
98,5.00,-25.00,107.00,-242.00
99,1.00,-45.00,210.00,-6.00
100,5.00,271.00,155.00,168.00
101,2.00,131.00,191.00,127.00
102,1.00,91.00,65.00,-249.00
103,2.00,33.00,44.00,128.00
104,4.00,-13.00,196.00,-204.00
105,4.00,345.00,197.00,-151.00
106,4.00,14.00,220.00,24.00
107,4.00,279.00,-40.00,41.00
108,2.00,282.00,217.00,-65.00
109,3.00,114.00,69.00,260.00
110,2.00,155.00,221.00,-78.00
111,3.00,303.00,237.00,-238.00
112,5.00,47.00,28.00,41.00
113,2.00,166.00,70.00,115.00
114,1.00,25.00,113.00,-179.00
115,1.00,332.00,122.00,-144.00
116,5.00,-2.00,127.00,212.00
117,4.00,262.00,231.00,162.00
118,4.00,201.00,117.00,-145.00
119,2.00,340.00,270.00,122.00
120,4.00,122.00,209.00,183.00
121,3.00,227.00,68.00,-82.00
122,4.00,287.00,102.00,-122.00
123,2.00,276.00,40.00,164.00
124,2.00,103.00,164.00,-199.00
125,3.00,-5.00,239.00,46.00
126,2.00,319.00,267.00,-143.00
127,4.00,63.00,178.00,5.00
128,5.00,304.00,79.00,-213.00
129,3.00,156.00,204.00,-75.00
130,1.00,170.00,81.00,130.00
131,2.00,339.00,42.00,-12.00
132,3.00,295.00,25.00,-182.00
133,1.00,266.00,239.00,141.00
134,4.00,285.00,176.00,24.00
135,3.00,209.00,117.00,77.00
136,5.00,245.00,11.00,275.00
137,3.00,319.00,189.00,-219.00
138,2.00,335.00,207.00,176.00
139,3.00,158.00,110.00,-111.00
140,3.00,225.00,143.00,-85.00
141,2.00,161.00,163.00,134.00
142,1.00,55.00,188.00,85.00
143,4.00,102.00,93.00,163.00
144,4.00,87.00,311.00,-93.00
145,2.00,110.00,83.00,-222.00
146,1.00,359.00,184.00,190.00
147,1.00,258.00,304.00,-238.00
148,1.00,378.00,77.00,65.00
149,3.00,321.00,154.00,51.00
150,3.00,361.00,187.00,114.00
151,3.00,393.00,53.00,-222.00
152,4.00,393.00,269.00,137.00
153,1.00,220.00,112.00,-65.00
154,3.00,338.00,136.00,1.00
155,3.00,324.00,145.00,-203.00
156,5.00,181.00,322.00,145.00
157,3.00,300.00,294.00,-167.00
158,5.00,240.00,225.00,-46.00
159,3.00,31.00,14.00,239.00
160,4.00,325.00,194.00,77.00
161,1.00,326.00,165.00,-132.00
162,4.00,160.00,278.00,134.00
163,4.00,306.00,63.00,-119.00
164,4.00,227.00,249.00,-1.00
165,2.00,99.00,294.00,-159.00
166,4.00,126.00,179.00,4.00
167,1.00,193.00,256.00,124.00
168,1.00,193.00,293.00,-233.00
169,5.00,379.00,155.00,-225.00
170,3.00,218.00,172.00,-36.00
171,2.00,290.00,105.00,-190.00
172,5.00,55.00,330.00,96.00
173,4.00,200.00,24.00,-66.00
174,2.00,397.00,322.00,-227.00
175,5.00,46.00,32.00,93.00
176,5.00,392.00,223.00,-183.00
177,4.00,87.00,109.00,249.00
178,2.00,248.00,68.00,-137.00
179,2.00,292.00,319.00,231.00
180,1.00,420.00,257.00,-70.00
181,5.00,196.00,216.00,-135.00
182,3.00,343.00,224.00,-237.00
183,3.00,297.00,94.00,-38.00
184,4.00,351.00,332.00,-1.00
185,5.00,371.00,329.00,-135.00
186,2.00,291.00,176.00,-210.00
187,5.00,97.00,328.00,107.00
188,3.00,68.00,85.00,-180.00
189,3.00,296.00,66.00,197.00
190,3.00,404.00,137.00,1.00
191,1.00,125.00,230.00,173.00
192,1.00,223.00,120.00,182.00
193,2.00,176.00,173.00,54.00
194,1.00,406.00,62.00,-76.00
195,2.00,310.00,255.00,136.00
196,1.00,104.00,322.00,-203.00
197,5.00,367.00,341.00,79.00
198,4.00,310.00,57.00,81.00
199,5.00,310.00,133.00,100.00
200,5.00,340.00,259.00,-225.00
201,3.00,230.00,55.00,-114.00
202,3.00,110.00,182.00,-46.00
203,5.00,353.00,114.00,-97.00
204,2.00,64.00,137.00,166.00
205,5.00,361.00,226.00,4.00
206,4.00,274.00,64.00,184.00
207,4.00,314.00,329.00,-117.00
208,3.00,426.00,126.00,-59.00
209,4.00,287.00,221.00,-171.00
210,4.00,438.00,263.00,-58.00
211,5.00,456.00,292.00,227.00
212,2.00,87.00,260.00,255.00
213,1.00,342.00,353.00,-180.00
214,5.00,344.00,73.00,-183.00
215,5.00,176.00,260.00,-168.00
216,4.00,221.00,71.00,267.00
217,5.00,323.00,238.00,-34.00
218,4.00,133.00,294.00,135.00
219,3.00,116.00,154.00,-78.00
220,4.00,322.00,87.00,-193.00
221,2.00,233.00,84.00,-175.00
222,3.00,345.00,306.00,62.00
223,1.00,420.00,235.00,-230.00
224,4.00,440.00,352.00,169.00
225,1.00,367.00,366.00,-232.00
226,3.00,204.00,149.00,-224.00
227,5.00,444.00,197.00,120.00
228,4.00,214.00,124.00,211.00
229,3.00,80.00,187.00,-161.00
230,4.00,146.00,338.00,42.00
231,2.00,432.00,289.00,94.00
232,5.00,455.00,189.00,-111.00
233,1.00,155.00,288.00,235.00
234,5.00,322.00,181.00,46.00
235,4.00,177.00,232.00,-88.00
236,4.00,291.00,95.00,143.00
237,5.00,184.00,143.00,-57.00
238,1.00,321.00,199.00,-173.00
239,5.00,229.00,347.00,148.00
240,4.00,313.00,372.00,66.00
241,1.00,142.00,188.00,249.00
242,4.00,459.00,160.00,-137.00
243,1.00,299.00,278.00,146.00
244,1.00,309.00,413.00,41.00
245,3.00,170.00,212.00,-69.00
246,5.00,382.00,263.00,-29.00
247,4.00,371.00,119.00,-246.00
248,2.00,196.00,280.00,109.00
249,4.00,346.00,272.00,60.00
250,1.00,215.00,313.00,-193.00
251,3.00,182.00,235.00,266.00
252,4.00,335.00,372.00,48.00
253,3.00,219.00,157.00,152.00
254,5.00,481.00,312.00,-242.00
255,5.00,370.00,385.00,-27.00
256,5.00,180.00,142.00,100.00
257,3.00,464.00,120.00,139.00
258,3.00,143.00,268.00,-88.00
259,2.00,187.00,136.00,188.00
260,2.00,292.00,340.00,196.00
261,5.00,185.00,287.00,-12.00
262,1.00,475.00,122.00,1.00
263,2.00,276.00,178.00,-161.00
264,4.00,437.00,355.00,33.00
265,5.00,401.00,235.00,32.00
266,2.00,390.00,157.00,17.00
267,2.00,255.00,162.00,164.00
268,1.00,284.00,128.00,129.00
269,1.00,290.00,310.00,-191.00
270,2.00,428.00,228.00,-48.00
271,5.00,168.00,433.00,-182.00
272,4.00,229.00,188.00,-133.00
273,1.00,214.00,149.00,-141.00
274,2.00,490.00,188.00,54.00
275,2.00,200.00,231.00,-36.00
276,5.00,263.00,178.00,-77.00
277,2.00,436.00,188.00,95.00
278,5.00,168.00,324.00,-5.00
279,5.00,206.00,448.00,-85.00
280,4.00,526.00,187.00,-245.00
281,4.00,262.00,290.00,-194.00
282,2.00,266.00,195.00,-149.00
283,4.00,161.00,371.00,-200.00
284,5.00,313.00,299.00,197.00
285,2.00,306.00,344.00,177.00
286,1.00,503.00,376.00,114.00
287,3.00,311.00,361.00,-112.00
288,2.00,139.00,185.00,138.00
289,5.00,425.00,459.00,227.00
290,3.00,278.00,190.00,47.00
291,5.00,342.00,440.00,-68.00
292,5.00,497.00,201.00,-74.00
293,1.00,490.00,445.00,-146.00
294,1.00,459.00,175.00,-165.00
295,3.00,285.00,318.00,-80.00
296,3.00,231.00,304.00,-222.00
297,2.00,224.00,329.00,263.00
298,4.00,426.00,404.00,36.00
299,4.00,385.00,156.00,153.00
300,5.00,216.00,328.00,233.00
301,1.00,491.00,340.00,38.00
302,4.00,405.00,310.00,56.00
303,5.00,307.00,462.00,-16.00
304,4.00,210.00,382.00,-228.00
305,4.00,263.00,210.00,232.00
306,1.00,305.00,188.00,-242.00
307,2.00,443.00,290.00,-30.00
308,5.00,511.00,337.00,221.00
309,1.00,335.00,177.00,13.00
310,3.00,169.00,369.00,230.00
311,1.00,561.00,237.00,141.00
312,5.00,533.00,293.00,227.00
313,5.00,430.00,469.00,-15.00
314,5.00,435.00,340.00,-173.00
315,2.00,244.00,455.00,210.00
316,1.00,351.00,406.00,-153.00
317,2.00,220.00,320.00,-191.00
318,2.00,303.00,477.00,136.00
319,5.00,548.00,184.00,85.00
320,4.00,563.00,343.00,83.00
321,1.00,496.00,412.00,221.00
322,4.00,407.00,213.00,31.00
323,2.00,519.00,419.00,202.00
324,3.00,478.00,176.00,-148.00
325,3.00,406.00,254.00,235.00
326,3.00,263.00,403.00,-121.00
327,4.00,428.00,416.00,271.00
