R9BHB  LON,LAT,size  -62.163777351379395 -38.71608853340149 1949
60.362034 59.44478107618641 -999 -168.58843992376916 274.1768771440784
68.546529 67.62927607618641 908 -166.68143992376918 276.08387714407843
68.546945 67.6296920761864 1048 -166.54143992376916 276.2238771440784
68.547404 67.63015107618641 1016 -166.57343992376917 276.19187714407843
424.078708 423.1614550761864 921 -166.66843992376917 276.0968771440784
424.079083 423.16183007618645 1248 -166.34143992376917 276.4238771440784
424.0795 423.1622470761864 1024 -166.56543992376916 276.1998771440784
691.688447 690.7711940761864 -901 -168.49043992376917 274.2748771440784
691.688655 690.7714020761864 -1024 -168.61343992376916 274.1518771440784
691.689113 690.7718600761864 -1280 -168.86943992376916 273.89587714407844
691.690863 690.7736100761864 -1560 -169.14943992376917 273.6158771440784
691.691738 690.7744850761864 -1432 -169.02143992376915 273.7438771440784
691.692447 690.7751940761864 -1543 -169.13243992376917 273.6328771440784
691.693697 690.7764440761864 -1792 -169.38143992376916 273.38387714407844
691.693905 690.7766520761863 -2048 -169.63743992376916 273.1278771440784
691.694322 690.7770690761864 -2560 -170.14943992376917 272.6158771440784
691.696197 690.7789440761863 -3072 -170.66143992376917 272.1038771440784
691.696613 690.7793600761863 -3584 -171.17343992376917 271.5918771440784
691.696947 690.7796940761864 -4096 -171.68543992376917 271.0798771440784
691.697947 690.7806940761864 -5424 -173.01343992376917 269.75187714407843
691.698738 690.7814850761864 -5120 -172.70943992376917 270.0558771440784
691.698863 690.7816100761863 -4096 -171.68543992376917 271.0798771440784
691.69903 690.7817770761864 -3072 -170.66143992376917 272.1038771440784
691.699155 690.7819020761864 -2560 -170.14943992376917 272.6158771440784
691.69928 690.7820270761864 -2048 -169.63743992376916 273.1278771440784
691.699363 690.7821100761863 -1536 -169.12543992376916 273.6398771440784
691.699405 690.7821520761863 -1280 -168.86943992376916 273.89587714407844
691.699488 690.7822350761863 -1024 -168.61343992376916 274.1518771440784
691.69953 690.7822770761863 -768 -168.35743992376916 274.40787714407844
691.699947 690.7826940761863 768 -166.82143992376916 275.9438771440784
691.699988 690.7827350761863 896 -166.69343992376918 276.0718771440784
691.70003 690.7827770761863 1024 -166.56543992376916 276.1998771440784
691.700113 690.7828600761864 1280 -166.30943992376916 276.4558771440784
691.700155 690.7829020761864 1536 -166.05343992376916 276.7118771440784
691.700197 690.7829440761864 1792 -165.79743992376916 276.9678771440784
691.700322 690.7830690761864 2048 -165.54143992376916 277.2238771440784
691.700447 690.7831940761864 2560 -165.02943992376916 277.7358771440784
691.70053 690.7832770761863 3072 -164.51743992376916 278.2478771440784
691.700655 690.7834020761863 3584 -164.00543992376916 278.7598771440784
691.700947 690.7836940761864 4096 -163.49343992376916 279.2718771440784
691.701447 690.7841940761864 5120 -162.46943992376916 280.2958771440784
691.702405 690.7851520761864 6192 -161.39743992376916 281.3678771440784
691.704363 690.7871100761863 6144 -161.44543992376916 281.3198771440784
691.704863 690.7876100761864 5120 -162.46943992376916 280.2958771440784
691.705405 690.7881520761864 4096 -163.49343992376916 279.2718771440784
691.705947 690.7886940761864 3584 -164.00543992376916 278.7598771440784
691.706238 690.7889850761863 3072 -164.51743992376916 278.2478771440784
691.70653 690.7892770761864 2560 -165.02943992376916 277.7358771440784
691.706822 690.7895690761864 2048 -165.54143992376916 277.2238771440784
691.706988 690.7897350761864 1792 -165.79743992376916 276.9678771440784
691.70728 690.7900270761863 1536 -166.05343992376916 276.7118771440784
691.707905 690.7906520761863 1280 -166.30943992376916 276.4558771440784
691.708238 690.7909850761864 1024 -166.56543992376916 276.1998771440784
691.80978 690.8925270761864 -954 -168.54343992376917 274.2218771440784
691.809822 690.8925690761864 -1024 -168.61343992376916 274.1518771440784
691.809988 690.8927350761863 -1280 -168.86943992376916 273.89587714407844
691.810113 690.8928600761864 -1536 -169.12543992376916 273.6398771440784
691.810238 690.8929850761864 -1792 -169.38143992376916 273.38387714407844
691.810363 690.8931100761864 -2048 -169.63743992376916 273.1278771440784
691.812113 690.8948600761863 -3040 -170.62943992376916 272.1358771440784
691.813072 690.8958190761864 -2560 -170.14943992376917 272.6158771440784
691.81328 690.8960270761863 -2048 -169.63743992376916 273.1278771440784
691.813613 690.8963600761864 -1536 -169.12543992376916 273.6398771440784
691.813988 690.8967350761864 -1280 -168.86943992376916 273.89587714407844
691.814238 690.8969850761864 -1024 -168.61343992376916 274.1518771440784
691.815905 690.8986520761864 1024 -166.56543992376916 276.1998771440784
691.815988 690.8987350761863 1280 -166.30943992376916 276.4558771440784
691.816155 690.8989020761863 1536 -166.05343992376916 276.7118771440784
691.81628 690.8990270761864 1792 -165.79743992376916 276.9678771440784
691.816447 690.8991940761864 2048 -165.54143992376916 277.2238771440784
691.816613 690.8993600761863 2560 -165.02943992376916 277.7358771440784
691.818613 690.9013600761864 3176 -164.41343992376918 278.3518771440784
691.820697 690.9034440761864 3072 -164.51743992376916 278.2478771440784
691.820947 690.9036940761864 2560 -165.02943992376916 277.7358771440784
691.821238 690.9039850761864 2048 -165.54143992376916 277.2238771440784
691.822405 690.9051520761864 1792 -165.79743992376916 276.9678771440784
691.822655 690.9054020761864 1536 -166.05343992376916 276.7118771440784
691.82278 690.9055270761863 1280 -166.30943992376916 276.4558771440784
691.861947 690.9446940761864 -901 -168.49043992376917 274.2748771440784
691.862363 690.9451100761863 -1256 -168.84543992376916 273.91987714407844
691.862988 690.9457350761863 -876 -168.46543992376917 274.29987714407844
691.863405 690.9461520761863 -1041 -168.63043992376916 274.1348771440784
691.864072 690.9468190761863 -1292 -168.88143992376916 273.88387714407844
691.865113 690.9478600761863 -1160 -168.74943992376916 274.0158771440784
691.865613 690.9483600761864 -1280 -168.86943992376916 273.89587714407844
691.86578 690.9485270761863 -1536 -169.12543992376916 273.6398771440784
691.866155 690.9489020761864 -1792 -169.38143992376916 273.38387714407844
691.867405 690.9501520761863 -2416 -170.00543992376916 272.7598771440784
691.868238 690.9509850761864 -2048 -169.63743992376916 273.1278771440784
691.868405 690.9511520761864 -1536 -169.12543992376916 273.6398771440784
691.868655 690.9514020761864 -1280 -168.86943992376916 273.89587714407844
691.869655 690.9524020761863 -884 -168.47343992376915 274.2918771440784
691.875905 690.9586520761864 -1094 -168.68343992376916 274.0818771440784
691.87603 690.9587770761864 -1280 -168.86943992376916 273.89587714407844
691.876113 690.9588600761864 -1536 -169.12543992376916 273.6398771440784
691.876238 690.9589850761863 -1792 -169.38143992376916 273.38387714407844
691.876322 690.9590690761863 -2048 -169.63743992376916 273.1278771440784
691.877822 690.9605690761864 -2808 -170.39743992376916 272.3678771440784
691.879072 690.9618190761863 -2560 -170.14943992376917 272.6158771440784
691.879322 690.9620690761864 -2048 -169.63743992376916 273.1278771440784
691.880613 690.9633600761864 -1536 -169.12543992376916 273.6398771440784
691.880863 690.9636100761863 -1280 -168.86943992376916 273.89587714407844
691.881447 690.9641940761863 -1024 -168.61343992376916 274.1518771440784
691.881697 690.9644440761864 -768 -168.35743992376916 274.40787714407844
691.882822 690.9655690761864 939 -166.65043992376917 276.11487714407843
691.882905 690.9656520761864 1024 -166.56543992376916 276.1998771440784
691.883072 690.9658190761863 1280 -166.30943992376916 276.4558771440784
691.88353 690.9662770761863 1536 -166.05343992376916 276.7118771440784
691.88378 690.9665270761864 1792 -165.79743992376916 276.9678771440784
691.883988 690.9667350761864 2048 -165.54143992376916 277.2238771440784
691.884322 690.9670690761864 2560 -165.02943992376916 277.7358771440784
691.885655 690.9684020761864 3072 -164.51743992376916 278.2478771440784
691.88653 690.9692770761864 3816 -163.77343992376916 278.9918771440784
691.888988 690.9717350761864 3584 -164.00543992376916 278.7598771440784
691.892655 690.9754020761864 3072 -164.51743992376916 278.2478771440784
691.894113 690.9768600761863 2560 -165.02943992376916 277.7358771440784
691.894322 690.9770690761864 2048 -165.54143992376916 277.2238771440784
691.89553 690.9782770761864 1792 -165.79743992376916 276.9678771440784
691.895863 690.9786100761863 1536 -166.05343992376916 276.7118771440784
691.896322 690.9790690761864 1280 -166.30943992376916 276.4558771440784
691.897488 690.9802350761863 1024 -166.56543992376916 276.1998771440784
691.94603 691.0287770761863 -920 -168.50943992376915 274.2558771440784
691.946197 691.0289440761863 -1024 -168.61343992376916 274.1518771440784
691.947155 691.0299020761863 -1280 -168.86943992376916 273.89587714407844
691.947363 691.0301100761864 -1536 -169.12543992376916 273.6398771440784
691.94753 691.0302770761864 -1792 -169.38143992376916 273.38387714407844
691.947655 691.0304020761864 -2048 -169.63743992376916 273.1278771440784
691.947863 691.0306100761863 -2560 -170.14943992376917 272.6158771440784
691.94803 691.0307770761864 -3072 -170.66143992376917 272.1038771440784
691.94828 691.0310270761863 -3584 -171.17343992376917 271.5918771440784
691.948613 691.0313600761864 -4096 -171.68543992376917 271.0798771440784
691.949197 691.0319440761864 -5120 -172.70943992376917 270.0558771440784
691.95103 691.0337770761863 -6144 -173.73343992376917 269.0318771440784
691.953822 691.0365690761863 -8000 -175.58943992376916 267.1758771440784
691.955613 691.0383600761863 -6144 -173.73343992376917 269.0318771440784
691.955947 691.0386940761864 -5120 -172.70943992376917 270.0558771440784
691.956363 691.0391100761864 -4096 -171.68543992376917 271.0798771440784
691.956655 691.0394020761863 -3072 -170.66143992376917 272.1038771440784
691.956863 691.0396100761864 -2560 -170.14943992376917 272.6158771440784
691.957072 691.0398190761864 -2048 -169.63743992376916 273.1278771440784
691.95728 691.0400270761863 -1536 -169.12543992376916 273.6398771440784
691.957363 691.0401100761864 -1280 -168.86943992376916 273.89587714407844
691.957488 691.0402350761864 -1024 -168.61343992376916 274.1518771440784
691.957572 691.0403190761864 -768 -168.35743992376916 274.40787714407844
691.957655 691.0404020761864 -640 -168.22943992376915 274.5358771440784
691.958613 691.0413600761864 640 -166.94943992376918 275.8158771440784
691.958655 691.0414020761864 768 -166.82143992376916 275.9438771440784
691.95878 691.0415270761864 896 -166.69343992376918 276.0718771440784
691.958863 691.0416100761863 1024 -166.56543992376916 276.1998771440784
691.958947 691.0416940761863 1280 -166.30943992376916 276.4558771440784
691.959072 691.0418190761864 1536 -166.05343992376916 276.7118771440784
691.959238 691.0419850761864 1792 -165.79743992376916 276.9678771440784
691.959405 691.0421520761863 2048 -165.54143992376916 277.2238771440784
691.959572 691.0423190761863 2560 -165.02943992376916 277.7358771440784
691.959822 691.0425690761864 3072 -164.51743992376916 278.2478771440784
691.960405 691.0431520761864 3584 -164.00543992376916 278.7598771440784
691.960822 691.0435690761864 4096 -163.49343992376916 279.2718771440784
691.961238 691.0439850761863 5120 -162.46943992376916 280.2958771440784
691.963238 691.0459850761864 6240 -161.34943992376915 281.4158771440784
691.966863 691.0496100761864 6144 -161.44543992376916 281.3198771440784
691.967488 691.0502350761864 5120 -162.46943992376916 280.2958771440784
691.968488 691.0512350761863 4096 -163.49343992376916 279.2718771440784
691.969113 691.0518600761864 3584 -164.00543992376916 278.7598771440784
691.969405 691.0521520761864 3072 -164.51743992376916 278.2478771440784
691.969905 691.0526520761864 2560 -165.02943992376916 277.7358771440784
691.970405 691.0531520761864 2048 -165.54143992376916 277.2238771440784
691.970738 691.0534850761863 1792 -165.79743992376916 276.9678771440784
691.970905 691.0536520761864 1536 -166.05343992376916 276.7118771440784
691.971072 691.0538190761864 1280 -166.30943992376916 276.4558771440784
691.971238 691.0539850761863 1024 -166.56543992376916 276.1998771440784
691.971572 691.0543190761864 896 -166.69343992376918 276.0718771440784
691.971863 691.0546100761863 768 -166.82143992376916 275.9438771440784
691.976572 691.0593190761864 -1004 -168.59343992376915 274.1718771440784
691.979905 691.0626520761864 -1024 -168.61343992376916 274.1518771440784
691.980072 691.0628190761863 -1280 -168.86943992376916 273.89587714407844
691.980322 691.0630690761864 -1536 -169.12543992376916 273.6398771440784
691.981905 691.0646520761863 -1812 -169.40143992376917 273.3638771440784
691.982697 691.0654440761864 -1536 -169.12543992376916 273.6398771440784
691.98428 691.0670270761864 -1280 -168.86943992376916 273.89587714407844
691.984572 691.0673190761863 -912 -168.50143992376917 274.26387714407844
691.997988 691.0807350761863 -1103 -168.69243992376917 274.0728771440784
691.998322 691.0810690761864 -887 -168.47643992376916 274.2888771440784
692.011738 691.0944850761864 -902 -168.49143992376915 274.2738771440784
692.011863 691.0946100761863 -1024 -168.61343992376916 274.1518771440784
692.012071 691.0948180761864 -1280 -168.86943992376916 273.89587714407844
692.012446 691.0951930761863 -1536 -169.12543992376916 273.6398771440784
692.013655 691.0964020761863 -1792 -169.38143992376916 273.38387714407844
692.013946 691.0966930761864 -2048 -169.63743992376916 273.1278771440784
692.015821 691.0985680761863 -2632 -170.22143992376917 272.5438771440784
692.01653 691.0992770761864 -2560 -170.14943992376917 272.6158771440784
692.01678 691.0995270761864 -2048 -169.63743992376916 273.1278771440784
692.017405 691.1001520761864 -1536 -169.12543992376916 273.6398771440784
692.017696 691.1004430761864 -1280 -168.86943992376916 273.89587714407844
692.017905 691.1006520761864 -1024 -168.61343992376916 274.1518771440784
692.01803 691.1007770761863 -768 -168.35743992376916 274.40787714407844
692.019946 691.1026930761864 956 -166.63343992376917 276.13187714407843
692.02003 691.1027770761864 1024 -166.56543992376916 276.1998771440784
692.020238 691.1029850761863 1280 -166.30943992376916 276.4558771440784
692.021321 691.1040680761863 1536 -166.05343992376916 276.7118771440784
692.021696 691.1044430761864 1792 -165.79743992376916 276.9678771440784
692.022238 691.1049850761864 2144 -165.44543992376916 277.3198771440784
692.022863 691.1056100761864 2048 -165.54143992376916 277.2238771440784
692.024363 691.1071100761864 1792 -165.79743992376916 276.9678771440784
692.024655 691.1074020761864 1536 -166.05343992376916 276.7118771440784
692.025946 691.1086930761863 1280 -166.30943992376916 276.4558771440784
692.026113 691.1088600761864 1024 -166.56543992376916 276.1998771440784
692.039155 691.1219020761864 -905 -168.49443992376916 274.27087714407844
692.039738 691.1224850761864 -1024 -168.61343992376916 274.1518771440784
692.040196 691.1229430761864 -1280 -168.86943992376916 273.89587714407844
692.040405 691.1231520761863 -1536 -169.12543992376916 273.6398771440784
692.040613 691.1233600761864 -1792 -169.38143992376916 273.38387714407844
692.042863 691.1256100761864 -2184 -169.77343992376916 272.9918771440784
692.043446 691.1261930761864 -2048 -169.63743992376916 273.1278771440784
692.044738 691.1274850761864 -1536 -169.12543992376916 273.6398771440784
692.044946 691.1276930761863 -1280 -168.86943992376916 273.89587714407844
692.045321 691.1280680761863 -980 -168.56943992376915 274.1958771440784
692.046321 691.1290680761864 -1204 -168.79343992376917 273.9718771440784
692.046988 691.1297350761864 -1024 -168.61343992376916 274.1518771440784
692.047238 691.1299850761864 -748 -168.33743992376915 274.4278771440784
692.056655 691.1394020761863 -898 -168.48743992376916 274.2778771440784
692.05678 691.1395270761864 -1024 -168.61343992376916 274.1518771440784
692.05703 691.1397770761864 -1280 -168.86943992376916 273.89587714407844
692.057363 691.1401100761864 -1536 -169.12543992376916 273.6398771440784
692.057905 691.1406520761864 -1792 -169.38143992376916 273.38387714407844
692.058196 691.1409430761863 -2048 -169.63743992376916 273.1278771440784
692.05853 691.1412770761864 -2560 -170.14943992376917 272.6158771440784
692.060113 691.1428600761864 -3152 -170.74143992376915 272.0238771440784
692.060863 691.1436100761864 -3072 -170.66143992376917 272.1038771440784
692.061155 691.1439020761864 -2560 -170.14943992376917 272.6158771440784
692.06128 691.1440270761864 -2048 -169.63743992376916 273.1278771440784
692.061446 691.1441930761864 -1536 -169.12543992376916 273.6398771440784
692.061655 691.1444020761863 -1280 -168.86943992376916 273.89587714407844
692.062113 691.1448600761863 -1024 -168.61343992376916 274.1518771440784
692.06228 691.1450270761864 -768 -168.35743992376916 274.40787714407844
692.064613 691.1473600761864 913 -166.67643992376915 276.0888771440784
692.064821 691.1475680761864 1024 -166.56543992376916 276.1998771440784
692.066155 691.1489020761863 1280 -166.30943992376916 276.4558771440784
692.066405 691.1491520761864 1536 -166.05343992376916 276.7118771440784
692.068321 691.1510680761863 1792 -165.79743992376916 276.9678771440784
692.068613 691.1513600761864 2048 -165.54143992376916 277.2238771440784
692.069863 691.1526100761864 2560 -165.02943992376916 277.7358771440784
692.072196 691.1549430761863 3280 -164.30943992376916 278.4558771440784
692.074946 691.1576930761863 3072 -164.51743992376916 278.2478771440784
692.076363 691.1591100761864 2560 -165.02943992376916 277.7358771440784
692.077821 691.1605680761863 2048 -165.54143992376916 277.2238771440784
692.078238 691.1609850761864 1792 -165.79743992376916 276.9678771440784
692.079696 691.1624430761864 1536 -166.05343992376916 276.7118771440784
692.079905 691.1626520761864 1280 -166.30943992376916 276.4558771440784
692.08003 691.1627770761863 988 -166.60143992376916 276.1638771440784
692.080571 691.1633180761863 908 -166.68143992376918 276.08387714407843
692.080863 691.1636100761864 1036 -166.55343992376916 276.2118771440784
692.081238 691.1639850761863 1024 -166.56543992376916 276.1998771440784
692.119155 691.2019020761863 -938 -168.52743992376915 274.2378771440784
692.119238 691.2019850761864 -1024 -168.61343992376916 274.1518771440784
692.119446 691.2021930761864 -1280 -168.86943992376916 273.89587714407844
692.120738 691.2034850761863 -1536 -169.12543992376916 273.6398771440784
692.120988 691.2037350761864 -1792 -169.38143992376916 273.38387714407844
692.121405 691.2041520761863 -2048 -169.63743992376916 273.1278771440784
692.12303 691.2057770761863 -2560 -170.14943992376917 272.6158771440784
692.124321 691.2070680761864 -3072 -170.66143992376917 272.1038771440784
692.126613 691.2093600761864 -3952 -171.54143992376916 271.2238771440784
692.128696 691.2114430761864 -3072 -170.66143992376917 272.1038771440784
692.12928 691.2120270761864 -2272 -169.86143992376915 272.9038771440784
692.130238 691.2129850761863 -2576 -170.16543992376916 272.5998771440784
692.132321 691.2150680761864 -2560 -170.14943992376917 272.6158771440784
692.132696 691.2154430761864 -2048 -169.63743992376916 273.1278771440784
692.132905 691.2156520761864 -1536 -169.12543992376916 273.6398771440784
692.13453 691.2172770761864 -1076 -168.66543992376916 274.0998771440784
692.135155 691.2179020761864 -1280 -168.86943992376916 273.89587714407844
692.13553 691.2182770761864 -1536 -169.12543992376916 273.6398771440784
692.136821 691.2195680761864 -1792 -169.38143992376916 273.38387714407844
692.137363 691.2201100761864 -2288 -169.87743992376917 272.8878771440784
692.13803 691.2207770761863 -2048 -169.63743992376916 273.1278771440784
692.138821 691.2215680761864 -1536 -169.12543992376916 273.6398771440784
692.139238 691.2219850761863 -1280 -168.86943992376916 273.89587714407844
692.139446 691.2221930761864 -1024 -168.61343992376916 274.1518771440784
692.139655 691.2224020761863 -768 -168.35743992376916 274.40787714407844
692.139821 691.2225680761863 -640 -168.22943992376915 274.5358771440784
692.139946 691.2226930761864 -512 -168.10143992376916 274.6638771440784
692.143363 691.2261100761864 932 -166.65743992376918 276.10787714407843
692.143446 691.2261930761864 1024 -166.56543992376916 276.1998771440784
692.143655 691.2264020761863 1280 -166.30943992376916 276.4558771440784
692.144155 691.2269020761863 1536 -166.05343992376916 276.7118771440784
692.144488 691.2272350761864 1792 -165.79743992376916 276.9678771440784
692.144696 691.2274430761863 2048 -165.54143992376916 277.2238771440784
692.144946 691.2276930761864 2560 -165.02943992376916 277.7358771440784
692.145196 691.2279430761864 3072 -164.51743992376916 278.2478771440784
692.145863 691.2286100761863 3584 -164.00543992376916 278.7598771440784
692.146488 691.2292350761863 4096 -163.49343992376916 279.2718771440784
692.147113 691.2298600761864 5120 -162.46943992376916 280.2958771440784
692.150738 691.2334850761864 7008 -160.58143992376915 282.1838771440784
692.153363 691.2361100761864 6144 -161.44543992376916 281.3198771440784
692.15503 691.2377770761864 5120 -162.46943992376916 280.2958771440784
692.156405 691.2391520761863 4096 -163.49343992376916 279.2718771440784
692.156863 691.2396100761864 3584 -164.00543992376916 278.7598771440784
692.158196 691.2409430761863 3072 -164.51743992376916 278.2478771440784
692.15853 691.2412770761864 2560 -165.02943992376916 277.7358771440784
692.158738 691.2414850761863 2048 -165.54143992376916 277.2238771440784
692.159863 691.2426100761863 1792 -165.79743992376916 276.9678771440784
692.16003 691.2427770761864 1536 -166.05343992376916 276.7118771440784
692.16028 691.2430270761863 1280 -166.30943992376916 276.4558771440784
692.165863 691.2486100761863 -1280 -168.86943992376916 273.89587714407844
692.167738 691.2504850761864 -1768 -169.35743992376916 273.40787714407844
692.169905 691.2526520761863 -882 -168.47143992376917 274.2938771440784
692.172738 691.2554850761863 -923 -168.51243992376916 274.2528771440784
692.172863 691.2556100761864 -1024 -168.61343992376916 274.1518771440784
692.174196 691.2569430761864 -1280 -168.86943992376916 273.89587714407844
692.17478 691.2575270761864 -1688 -169.27743992376915 273.4878771440784
692.175446 691.2581930761863 -1536 -169.12543992376916 273.6398771440784
692.179071 691.2618180761864 -1280 -168.86943992376916 273.89587714407844
692.179363 691.2621100761863 -892 -168.48143992376916 274.2838771440784
692.17978 691.2625270761864 -1052 -168.64143992376916 274.1238771440784
692.181321 691.2640680761864 -1280 -168.86943992376916 273.89587714407844
692.181488 691.2642350761863 -1536 -169.12543992376916 273.6398771440784
692.181696 691.2644430761864 -1792 -169.38143992376916 273.38387714407844
692.182071 691.2648180761863 -2048 -169.63743992376916 273.1278771440784
692.184905 691.2676520761863 -2560 -170.14943992376917 272.6158771440784
692.185321 691.2680680761864 -3072 -170.66143992376917 272.1038771440784
692.185863 691.2686100761864 -3584 -171.17343992376917 271.5918771440784
692.187238 691.2699850761863 -4240 -171.82943992376917 270.9358771440784
692.187988 691.2707350761864 -4096 -171.68543992376917 271.0798771440784
692.18828 691.2710270761863 -3072 -170.66143992376917 272.1038771440784
692.188696 691.2714430761864 -2560 -170.14943992376917 272.6158771440784
692.189071 691.2718180761864 -2048 -169.63743992376916 273.1278771440784
692.189238 691.2719850761864 -1536 -169.12543992376916 273.6398771440784
692.189363 691.2721100761863 -1280 -168.86943992376916 273.89587714407844
692.189488 691.2722350761863 -1024 -168.61343992376916 274.1518771440784
692.189613 691.2723600761864 -768 -168.35743992376916 274.40787714407844
692.191446 691.2741930761864 768 -166.82143992376916 275.9438771440784
692.191571 691.2743180761863 896 -166.69343992376918 276.0718771440784
692.191863 691.2746100761864 1024 -166.56543992376916 276.1998771440784
692.192738 691.2754850761863 1280 -166.30943992376916 276.4558771440784
692.19303 691.2757770761864 1536 -166.05343992376916 276.7118771440784
692.193238 691.2759850761863 1792 -165.79743992376916 276.9678771440784
692.195238 691.2779850761864 2384 -165.20543992376918 277.5598771440784
692.199571 691.2823180761864 2048 -165.54143992376916 277.2238771440784
692.200905 691.2836520761864 1792 -165.79743992376916 276.9678771440784
692.201155 691.2839020761863 1536 -166.05343992376916 276.7118771440784
692.201363 691.2841100761864 1280 -166.30943992376916 276.4558771440784
692.202821 691.2855680761863 1024 -166.56543992376916 276.1998771440784
692.202988 691.2857350761864 896 -166.69343992376918 276.0718771440784
692.210155 691.2929020761864 -930 -168.51943992376917 274.2458771440784
692.210238 691.2929850761864 -1024 -168.61343992376916 274.1518771440784
692.210488 691.2932350761864 -1280 -168.86943992376916 273.89587714407844
692.210696 691.2934430761863 -1536 -169.12543992376916 273.6398771440784
692.210988 691.2937350761864 -1792 -169.38143992376916 273.38387714407844
692.212238 691.2949850761863 -2088 -169.67743992376916 273.0878771440784
692.213071 691.2958180761864 -1728 -169.31743992376917 273.4478771440784
692.213571 691.2963180761864 -2067 -169.65643992376917 273.1088771440784
692.214405 691.2971520761864 -2560 -170.14943992376917 272.6158771440784
692.215905 691.2986520761864 -3328 -170.91743992376917 271.84787714407844
692.217363 691.3001100761863 -3072 -170.66143992376917 272.1038771440784
692.217905 691.3006520761863 -2560 -170.14943992376917 272.6158771440784
692.218113 691.3008600761864 -2048 -169.63743992376916 273.1278771440784
692.21828 691.3010270761864 -1536 -169.12543992376916 273.6398771440784
692.218446 691.3011930761863 -1280 -168.86943992376916 273.89587714407844
692.218613 691.3013600761864 -1024 -168.61343992376916 274.1518771440784
692.219655 691.3024020761864 -768 -168.35743992376916 274.40787714407844
692.223613 691.3063600761864 922 -166.66743992376917 276.09787714407844
692.223946 691.3066930761863 1108 -166.48143992376916 276.2838771440784
692.224655 691.3074020761863 1012 -166.57743992376916 276.1878771440784
692.225113 691.3078600761863 1024 -166.56543992376916 276.1998771440784
692.225488 691.3082350761864 1280 -166.30943992376916 276.4558771440784
692.22703 691.3097770761864 1536 -166.05343992376916 276.7118771440784
692.227405 691.3101520761863 1820 -165.76943992376917 276.9958771440784
692.227863 691.3106100761863 1792 -165.79743992376916 276.9678771440784
692.228238 691.3109850761864 1536 -166.05343992376916 276.7118771440784
692.23003 691.3127770761864 1280 -166.30943992376916 276.4558771440784
692.23028 691.3130270761864 1010 -166.57943992376917 276.1858771440784
692.230821 691.3135680761864 1164 -166.42543992376918 276.3398771440784
692.23128 691.3140270761863 984 -166.60543992376915 276.1598771440784
692.252071 691.3348180761864 897 -166.69243992376917 276.0728771440784
692.252446 691.3351930761863 1232 -166.35743992376916 276.40787714407844
692.252946 691.3356930761863 1024 -166.56543992376916 276.1998771440784
692.26578 691.3485270761863 -917 -168.50643992376916 274.25887714407844
692.267071 691.3498180761864 -1024 -168.61343992376916 274.1518771440784
692.267655 691.3504020761864 -1480 -169.06943992376915 273.6958771440784
692.268655 691.3514020761863 -1180 -168.76943992376917 273.9958771440784
692.269405 691.3521520761864 -1316 -168.90543992376917 273.85987714407844
692.269905 691.3526520761864 -1136 -168.72543992376916 274.0398771440784
692.270613 691.3533600761864 -1054 -168.64343992376917 274.12187714407844
692.270863 691.3536100761863 -1280 -168.86943992376916 273.89587714407844
692.271196 691.3539430761864 -1536 -169.12543992376916 273.6398771440784
692.272488 691.3552350761863 -1792 -169.38143992376916 273.38387714407844
692.272696 691.3554430761864 -2048 -169.63743992376916 273.1278771440784
692.273155 691.3559020761863 -2568 -170.15743992376918 272.60787714407843
692.274696 691.3574430761863 -2560 -170.14943992376917 272.6158771440784
692.27503 691.3577770761864 -2048 -169.63743992376916 273.1278771440784
692.275238 691.3579850761863 -1536 -169.12543992376916 273.6398771440784
692.275446 691.3581930761864 -1280 -168.86943992376916 273.89587714407844
692.275863 691.3586100761863 -952 -168.54143992376916 274.2238771440784
